"Date","Time","Reward","Total","name","Wing"
27-January-3303,20:52,13580,Total,Viper Mk. IV of the Fedmich Mafia faction, Yes
27-January-3303,20:56,78885,Total,Anaconda of the Fedmich Mafia faction, Yes
27-January-3303,20:58,30387,Total,Asp Explorer of the Fedmich Mafia faction, Yes
28-January-3303,12:17,1980,Total,Hauler of the Republic Party of Cabru faction, Yes
28-January-3303,12:21,21450,Total,Cobra Mk. III of the Defence Party of Fedmich faction, Yes
28-January-3303,12:24,14535,Total,Imperial Courier of the Fedmich Mafia faction, Yes
28-January-3303,12:40,2900,Total,Sidewinder of the Fedmich Mafia faction, Yes
28-January-3303,12:41,62480,Total,Python of the Fedmich Mafia faction, Yes
28-January-3303,12:42,27330,Total,Viper Mk. IV of the Fedmich Electronics Partners faction, Yes
28-January-3303,12:42,37620,Total,Asp Scout of the People's Fedmich Values Party faction, Yes
28-January-3303,12:45,4062,Total,Sidewinder of the Fedmich Mafia faction, Yes
28-January-3303,12:46,5370,Total,Imperial Eagle of the Fedmich Mafia faction, Yes
28-January-3303,12:48,5120,Total,Sidewinder of the Fedmich Mafia faction, Yes
28-January-3303,12:49,8880,Total,Eagle of the Fedmich Mafia faction, Yes
28-January-3303,12:50,15500,Total,Diamondback Scout of the Fedmich Mafia faction, Yes
28-January-3303,12:52,28990,Total,Diamondback Explorer of the Republic Party of Cabru faction, Yes
28-January-3303,12:53,14445,Total,Asp Scout of the People's Fedmich Values Party faction, Yes
28-January-3303,12:53,6680,Total,Imperial Courier of the People's Fedmich Values Party faction, Yes
28-January-3303,12:54,6522,Total,Imperial Courier of the People's Fedmich Values Party faction, Yes
28-January-3303,12:54,8670,Total,Adder of the People's Fedmich Values Party faction, Yes
28-January-3303,12:55,8062,Total,Eagle of the Fedmich Mafia faction, Yes
28-January-3303,13:45,96792,Total,Vulture of the Fedmich Electronics Partners faction, Yes
28-January-3303,13:47,18990,Total,Viper Mk. IV of the Fedmich Mafia faction, Yes
28-January-3303,14:04,31045,Total,Diamondback Scout of the Denton Patreus faction, Yes
28-January-3303,14:05,7312,Total,Eagle of the A. Lavigny-Duval faction, Yes
28-January-3303,17:18,21845,Total,Viper Mk. III of the Fedmich Mafia faction, Yes
28-January-3303,17:19,27560,Total,Asp Scout of the Fedmich Mafia faction, Yes
28-January-3303,17:20,64110,Total,Fer-de-Lance of the Fedmich Mafia faction, Yes
28-January-3303,17:22,43875,Total,Imperial Clipper of the Fedmich Mafia faction, Yes
28-January-3303,17:24,28125,Total,Imperial Clipper of the Fedmich Mafia faction, Yes
28-January-3303,17:25,19910,Total,Cobra Mk. IV of the Walmiri Purple Universal Dev faction, Yes
28-January-3303,17:26,53190,Total,Python of the Fedmich Mafia faction, Yes
28-January-3303,17:27,7222,Total,Eagle of the Fedmich Mafia faction, Yes
29-January-3303,9:38,6000,Total,Eagle of the Berzites Bridge Ltd faction, Yes
29-January-3303,9:39,16850,Total,Cobra Mk. IV of the Berzites Bridge Ltd faction, Yes
29-January-3303,9:41,46714,Total,Asp Explorer of the Pranav Antal faction, Yes
29-January-3303,9:42,27607,Total,Federal Assault Ship of the Fedmich Electronics Partners faction, Yes
29-January-3303,9:44,15875,Total,Adder of the Fedmich Mafia faction, Yes
29-January-3303,9:46,56412,Total,Vulture of the People's Fedmich Values Party faction, Yes
29-January-3303,9:47,28790,Total,Diamondback Explorer of the Fedmich Mafia faction, Yes
29-January-3303,9:48,22490,Total,Diamondback Scout of the Fedmich Mafia faction, Yes
29-January-3303,9:48,31477,Total,Federal Assault Ship of the People's Fedmich Values Party faction, Yes
29-January-3303,9:50,49640,Total,Federal Gunship of the Fedmich Mafia faction, Yes
29-January-3303,9:51,8730,Total,Eagle of the Fedmich Mafia faction, Yes
29-January-3303,10:33,10192,Total,Cobra Mk. III of the Walmiri Purple Universal Dev faction, Yes
29-January-3303,10:34,2595,Total,Eagle of the Walmiri Purple Universal Dev faction, Yes
29-January-3303,10:37,12350,Total,Cobra Mk. III of the People's Fedmich Values Party faction, Yes
29-January-3303,10:43,13200,Total,Viper Mk. IV of the Fedmich Mafia faction, Yes
29-January-3303,10:48,16355,Total,Diamondback Scout of the Fedmich Mafia faction, Yes
29-January-3303,10:48,5595,Total,Diamondback Scout of the Fedmich Mafia faction, Yes
29-January-3303,10:52,30890,Total,Cobra Mk. IV of the Fedmich Mafia faction, Yes
29-January-3303,10:53,5912,Total,Eagle of the Fedmich Mafia faction, Yes
29-January-3303,10:56,29160,Total,Viper Mk. III of the Fedmich Mafia faction, Yes
29-January-3303,12:00,18855,Total,Viper Mk. IV of the People's Fedmich Values Party faction, Yes
29-January-3303,12:01,109890,Total,Fer-de-Lance of the Defence Party of Fedmich faction, Yes
29-January-3303,12:02,7370,Total,Cobra Mk. III of the People's Fedmich Values Party faction, Yes
29-January-3303,12:04,27210,Total,Vulture of the Fedmich Mafia faction, Yes
29-January-3303,12:05,43410,Total,Vulture of the Fedmich Mafia faction, Yes
29-January-3303,12:07,27230,Total,Viper Mk. IV of the Fedmich Mafia faction, Yes
29-January-3303,12:08,70362,Total,Federal Assault Ship of the Fedmich Mafia faction, Yes
29-January-3303,12:11,59370,Total,Anaconda of the Fedmich Mafia faction, Yes
29-January-3303,12:16,57320,Total,Fer-de-Lance of the Fedmich Mafia faction, Yes
29-January-3303,12:22,35090,Total,Federal Assault Ship of the Fedmich Mafia faction, Yes
29-January-3303,12:23,18267,Total,Diamondback Explorer of the Fedmich Mafia faction, Yes
30-January-3303,8:04,7185,Total,Adder of the Fedmich Mafia faction, Yes
30-January-3303,8:05,24300,Total,Diamondback Explorer of the Fedmich Mafia faction, Yes
30-January-3303,8:06,26900,Total,Asp Scout of the Fedmich Mafia faction, Yes
30-January-3303,8:08,24475,Total,Diamondback Scout of the Republic Party of Cabru faction, Yes
30-January-3303,8:11,30290,Total,Cobra Mk. IV of the Fedmich Mafia faction, Yes
30-January-3303,8:14,5120,Total,Imperial Eagle of the Fedmich Mafia faction, Yes
30-January-3303,8:16,18290,Total,Viper Mk. III of the Fedmich Mafia faction, Yes
30-January-3303,8:17,3642,Total,Sidewinder of the Fedmich Mafia faction, Yes
30-January-3303,8:17,6410,Total,Adder of the Fedmich Mafia faction, Yes
30-January-3303,8:17,1932,Total,Sidewinder of the Fedmich Mafia faction, Yes
30-January-3303,8:18,27260,Total,Diamondback Explorer of the Walmiri Purple Universal Dev faction, Yes
30-January-3303,8:19,17310,Total,Cobra Mk. IV of the Fedmich Mafia faction, Yes
30-January-3303,8:22,20000,Total,Asp Scout of the Fedmich Mafia faction, Yes
30-January-3303,8:24,7280,Total,Imperial Eagle of the Fedmich Mafia faction, Yes
30-January-3303,8:26,29022,Total,Asp Scout of the Fedmich Mafia faction, Yes
30-January-3303,8:27,22100,Total,Imperial Courier of the Fedmich Mafia faction, Yes
30-January-3303,8:28,19090,Total,Cobra Mk. III of the Fedmich Mafia faction, Yes
30-January-3303,8:29,26330,Total,Viper Mk. IV of the Berzites Bridge Ltd faction, Yes
30-January-3303,17:04,91550,Total,Anaconda of the Fedmich Mafia faction, Yes
30-January-3303,17:04,21712,Total,Cobra Mk. IV of the Fedmich Mafia faction, Yes
30-January-3303,17:05,14645,Total,Viper Mk. IV of the Fedmich Mafia faction, Yes
30-January-3303,17:05,11315,Total,Viper Mk. IV of the Fedmich Mafia faction, Yes
30-January-3303,17:06,6795,Total,Eagle of the People's Fedmich Values Party faction, Yes
30-January-3303,17:06,7850,Total,Eagle of the Fedmich Mafia faction, Yes
30-January-3303,17:08,24110,Total,Cobra Mk. III of the Fedmich Mafia faction, Yes
30-January-3303,17:10,13905,Total,Viper Mk. III of the Walmiri Purple Universal Dev faction, Yes
31-January-3303,21:32,10550,Total,Imperial Eagle of the Fedmich Mafia faction, Yes
31-January-3303,21:34,26300,Total,Viper Mk. IV of the Fedmich Mafia faction, Yes
31-January-3303,21:35,28175,Total,Viper Mk. III of the Fedmich Mafia faction, Yes
31-January-3303,21:39,14445,Total,Adder of the Republic Party of Cabru faction, Yes
31-January-3303,21:40,5487,Total,Eagle of the Fedmich Mafia faction, Yes
31-January-3303,21:41,13680,Total,Eagle of the Fedmich Mafia faction, Yes
31-January-3303,21:43,12962,Total,Imperial Courier of the Fedmich Mafia faction, Yes
31-January-3303,21:43,5487,Total,Sidewinder of the Fedmich Mafia faction, Yes
31-January-3303,21:48,12694,Total,Eagle of the Fedmich Mafia faction, Yes
2-February-3303,20:11,36662,Total,Viper Mk. IV of the Fedmich Electronics Partners faction, Yes
2-February-3303,20:15,6587,Total,Imperial Eagle of the Walmiri Silver Syndicate faction, Yes
2-February-3303,20:20,95740,Total,Python of the Walmiri Silver Syndicate faction, Yes
2-February-3303,20:23,14760,Total,Viper Mk. III of the Walmiri Purple Universal Dev faction, Yes
2-February-3303,20:24,27069,Total,Viper Mk. III of the New Walmiri Party faction, Yes
2-February-3303,20:28,89072,Total,Vulture of the Walmiri Silver Syndicate faction, Yes
2-February-3303,20:29,5215,Total,Sidewinder of the Walmiri Purple Universal Dev faction, Yes
2-February-3303,20:32,55975,Total,Federal Assault Ship of the Walmiri Silver Syndicate faction, Yes
2-February-3303,20:32,1515,Total,Sidewinder of the Labour of Walmiri faction, Yes
2-February-3303,20:33,15600,Total,Cobra Mk. III of the Labour of Walmiri faction, Yes
2-February-3303,20:34,9960,Total,Adder of the Labour of Walmiri faction, Yes
2-February-3303,20:35,9570,Total,Eagle of the Walmiri Silver Syndicate faction, Yes
2-February-3303,20:36,1695,Total,Sidewinder of the Labour of Walmiri faction, Yes
2-February-3303,20:37,47229,Total,Asp Explorer of the Walmiri Silver Syndicate faction, Yes
2-February-3303,20:41,36137,Total,Asp Scout of the Walmiri Purple Universal Dev faction, Yes
6-February-3303,21:29,12225,Total,Adder of the Zachary Hudson faction, Yes
6-February-3303,21:54,16287,Total,Imperial Courier of the Fedmich Mafia faction, Yes
6-February-3303,21:55,52662,Total,Diamondback Explorer of the Fedmich Mafia faction, Yes
6-February-3303,21:59,6342,Total,Eagle of the Fedmich Mafia faction, Yes
6-February-3303,22:00,18247,Total,Cobra Mk. IV of the Fedmich Mafia faction, Yes
6-February-3303,22:00,22947,Total,Asp Scout of the Fedmich Mafia faction, Yes
6-February-3303,22:02,8412,Total,Eagle of the Fedmich Mafia faction, Yes
6-February-3303,22:03,31410,Total,Asp Scout of the Fedmich Mafia faction, Yes
6-February-3303,22:03,5037,Total,Eagle of the Fedmich Mafia faction, Yes
6-February-3303,22:05,27462,Total,Viper Mk. III of the Fedmich Mafia faction, Yes
6-February-3303,22:06,13950,Total,Cobra Mk. III of the Fedmich Mafia faction, Yes
6-February-3303,22:06,7335,Total,Cobra Mk. III of the Fedmich Mafia faction, Yes
6-February-3303,22:09,8097,Total,Cobra Mk. III of the Fedmich Mafia faction, Yes
6-February-3303,22:09,11962,Total,Imperial Eagle of the Fedmich Mafia faction, Yes
