Date,Timeï»¿,Station,Docking Status,Landing pad or Reason
21-January-3303,22:46,Barjavel Station,Granted,Landing Pad - 11
21-January-3303,22:47,Barjavel Station,Cancelled,"N/A"
21-January-3303,22:47,Barjavel Station,Granted,Landing Pad - 38
23-January-3303,21:14,Barjavel Station,Granted,Landing Pad - 35
23-January-3303,22:11,Barjavel Station,Granted,Landing Pad - 45
26-January-3303,21:18,Paradiso Outpost,Granted,Landing Pad - 5
27-January-3303,19:31,Roberts Port,Granted,Landing Pad - 3
27-January-3303,21:04,Ron Hubbard Dock,Granted,Landing Pad - 3
28-January-3303,13:04,Roberts Port,Granted,Landing Pad - 23
28-January-3303,17:34,Roberts Port,Granted,Landing Pad - 35
29-January-3303,10:02,Roberts Port,Granted,Landing Pad - 8
29-January-3303,11:18,Roberts Port,Granted,Landing Pad - 30
29-January-3303,12:31,Roberts Port,Granted,Landing Pad - 8
30-January-3303,8:36,Roberts Port,Granted,Landing Pad - 3
30-January-3303,17:16,Roberts Port,Granted,Landing Pad - 33
30-January-3303,17:16,Roberts Port,Denied,Hostile
30-January-3303,17:22,Virtanen Hub,Granted,Landing Pad - 35
30-January-3303,17:29,Roberts Port,Granted,Landing Pad - 20
30-January-3303,17:51,Roberts Port,Granted,Landing Pad - 20
31-January-3303,21:56,Roberts Port,Granted,Landing Pad - 15
1-February-3303,22:09,Virtanen Hub,Granted,Landing Pad - 41
1-February-3303,22:43,Virtanen Hub,Granted,Landing Pad - 22
2-February-3303,20:50,Pook City,Granted,Landing Pad - 23
5-February-3303,0:38,Vasilyev Vision,Granted,Landing Pad - 5
6-February-3303,21:19,Roberts Port,Granted,Landing Pad - 35
6-February-3303,22:17,Ron Hubbard Dock,Denied,NoSpace
6-February-3303,22:17,Ron Hubbard Dock,Denied,NoSpace
6-February-3303,22:19,Ron Hubbard Dock,Granted,Landing Pad - 3
8-February-3303,17:12,Roberts Port,Granted,Landing Pad - 22
8-February-3303,18:42,Chris & Silvia's Paradise Hideout,Granted,Landing Pad - 15
8-February-3303,19:08,Lloyd Port,Granted,Landing Pad - 45
8-February-3303,19:17,Chris & Silvia's Paradise Hideout,Granted,Landing Pad - 38
8-February-3303,19:40,Komarov Point,Granted,Landing Pad - 17
